time,year,fish,port,landings
UTC,,,,pounds
1931-07-16T00:00:00Z,1931,"Crab, Dungeness",Santa Barbara,0
1931-08-16T00:00:00Z,1931,"Crab, Dungeness",All,11256
1931-08-16T00:00:00Z,1931,"Crab, Dungeness",Eureka,11256
1931-08-16T00:00:00Z,1931,"Crab, Dungeness",Los Angeles,0
1931-08-16T00:00:00Z,1931,"Crab, Dungeness",Monterey,0
1931-08-16T00:00:00Z,1931,"Crab, Dungeness",San Diego,0
1931-08-16T00:00:00Z,1931,"Crab, Dungeness",San Francisco,0
1931-08-16T00:00:00Z,1931,"Crab, Dungeness",Santa Barbara,0
1931-09-16T00:00:00Z,1931,"Crab, Dungeness",All,0
1931-09-16T00:00:00Z,1931,"Crab, Dungeness",Eureka,0
1931-09-16T00:00:00Z,1931,"Crab, Dungeness",Los Angeles,0
1931-09-16T00:00:00Z,1931,"Crab, Dungeness",Monterey,0
1931-09-16T00:00:00Z,1931,"Crab, Dungeness",San Diego,0
1931-09-16T00:00:00Z,1931,"Crab, Dungeness",San Francisco,0
1931-09-16T00:00:00Z,1931,"Crab, Dungeness",Santa Barbara,0
1931-10-16T00:00:00Z,1931,"Crab, Dungeness",All,0
1931-10-16T00:00:00Z,1931,"Crab, Dungeness",Eureka,0
1931-10-16T00:00:00Z,1931,"Crab, Dungeness",Los Angeles,0
1931-10-16T00:00:00Z,1931,"Crab, Dungeness",Monterey,0
1931-10-16T00:00:00Z,1931,"Crab, Dungeness",San Diego,0
1931-10-16T00:00:00Z,1931,"Crab, Dungeness",San Francisco,0
1931-10-16T00:00:00Z,1931,"Crab, Dungeness",Santa Barbara,0
1931-11-16T00:00:00Z,1931,"Crab, Dungeness",All,192318
1931-11-16T00:00:00Z,1931,"Crab, Dungeness",Eureka,0
1931-11-16T00:00:00Z,1931,"Crab, Dungeness",Los Angeles,0
1931-11-16T00:00:00Z,1931,"Crab, Dungeness",Monterey,1174
1931-11-16T00:00:00Z,1931,"Crab, Dungeness",San Diego,0
1931-11-16T00:00:00Z,1931,"Crab, Dungeness",San Francisco,191144
1931-11-16T00:00:00Z,1931,"Crab, Dungeness",Santa Barbara,0
1931-12-16T00:00:00Z,1931,"Crab, Dungeness",All,369694
1931-12-16T00:00:00Z,1931,"Crab, Dungeness",Eureka,4476
1931-12-16T00:00:00Z,1931,"Crab, Dungeness",Los Angeles,0
1931-12-16T00:00:00Z,1931,"Crab, Dungeness",Monterey,1274
1931-12-16T00:00:00Z,1931,"Crab, Dungeness",San Diego,0
1931-12-16T00:00:00Z,1931,"Crab, Dungeness",San Francisco,363944
1931-12-16T00:00:00Z,1931,"Crab, Dungeness",Santa Barbara,0
1932-01-16T00:00:00Z,1932,"Crab, Dungeness",All,330893
1932-01-16T00:00:00Z,1932,"Crab, Dungeness",Eureka,11702
1932-01-16T00:00:00Z,1932,"Crab, Dungeness",Los Angeles,0
1932-01-16T00:00:00Z,1932,"Crab, Dungeness",Monterey,358
1932-01-16T00:00:00Z,1932,"Crab, Dungeness",San Diego,0
1932-01-16T00:00:00Z,1932,"Crab, Dungeness",San Francisco,318833
1932-01-16T00:00:00Z,1932,"Crab, Dungeness",Santa Barbara,0
1932-02-16T00:00:00Z,1932,"Crab, Dungeness",All,348646
1932-02-16T00:00:00Z,1932,"Crab, Dungeness",Eureka,13460
1932-02-16T00:00:00Z,1932,"Crab, Dungeness",Los Angeles,0
1932-02-16T00:00:00Z,1932,"Crab, Dungeness",Monterey,470
1932-02-16T00:00:00Z,1932,"Crab, Dungeness",San Diego,0
1932-02-16T00:00:00Z,1932,"Crab, Dungeness",San Francisco,334716
1932-02-16T00:00:00Z,1932,"Crab, Dungeness",Santa Barbara,0
1932-03-16T00:00:00Z,1932,"Crab, Dungeness",All,239760
1932-03-16T00:00:00Z,1932,"Crab, Dungeness",Eureka,14092
1932-03-16T00:00:00Z,1932,"Crab, Dungeness",Los Angeles,0
1932-03-16T00:00:00Z,1932,"Crab, Dungeness",Monterey,1382
1932-03-16T00:00:00Z,1932,"Crab, Dungeness",San Diego,0
1932-03-16T00:00:00Z,1932,"Crab, Dungeness",San Francisco,224286
1932-03-16T00:00:00Z,1932,"Crab, Dungeness",Santa Barbara,0
1932-04-16T00:00:00Z,1932,"Crab, Dungeness",All,238196
1932-04-16T00:00:00Z,1932,"Crab, Dungeness",Eureka,12138
1932-04-16T00:00:00Z,1932,"Crab, Dungeness",Los Angeles,0
1932-04-16T00:00:00Z,1932,"Crab, Dungeness",Monterey,448
1932-04-16T00:00:00Z,1932,"Crab, Dungeness",San Diego,0
1932-04-16T00:00:00Z,1932,"Crab, Dungeness",San Francisco,225610
1932-04-16T00:00:00Z,1932,"Crab, Dungeness",Santa Barbara,0
1932-05-16T00:00:00Z,1932,"Crab, Dungeness",All,260968
1932-05-16T00:00:00Z,1932,"Crab, Dungeness",Eureka,15212
1932-05-16T00:00:00Z,1932,"Crab, Dungeness",Los Angeles,0
1932-05-16T00:00:00Z,1932,"Crab, Dungeness",Monterey,420
1932-05-16T00:00:00Z,1932,"Crab, Dungeness",San Diego,0
1932-05-16T00:00:00Z,1932,"Crab, Dungeness",San Francisco,245336
1932-05-16T00:00:00Z,1932,"Crab, Dungeness",Santa Barbara,0
1932-06-16T00:00:00Z,1932,"Crab, Dungeness",All,206838
1932-06-16T00:00:00Z,1932,"Crab, Dungeness",Eureka,13758
1932-06-16T00:00:00Z,1932,"Crab, Dungeness",Los Angeles,0
1932-06-16T00:00:00Z,1932,"Crab, Dungeness",Monterey,18
1932-06-16T00:00:00Z,1932,"Crab, Dungeness",San Diego,0
1932-06-16T00:00:00Z,1932,"Crab, Dungeness",San Francisco,193062
