,lat_42,lat_39
1996-01-01,-45.0,-3.0
1996-02-01,-84.0,-31.0
1996-03-01,1.0,11.0
1996-04-01,-19.0,18.0
1996-05-01,86.0,161.0
1996-06-01,177.0,332.0
1996-07-01,196.0,231.0
1996-08-01,126.0,219.0
1996-09-01,58.0,117.0
1996-10-01,10.0,63.0
1996-11-01,-7.0,12.0
1996-12-01,-106.0,-33.0
1997-01-01,-52.0,-5.0
1997-02-01,7.0,74.0
1997-03-01,4.0,86.0
1997-04-01,18.0,114.0
1997-05-01,10.0,38.0
1997-06-01,113.0,312.0
1997-07-01,177.0,286.0
1997-08-01,25.0,80.0
1997-09-01,7.0,81.0
1997-10-01,6.0,74.0
1997-11-01,-84.0,-15.0
1997-12-01,-33.0,-1.0
1998-01-01,-197.0,-97.0
1998-02-01,-235.0,-85.0
1998-03-01,2.0,39.0
1998-04-01,26.0,78.0
1998-05-01,33.0,43.0
1998-06-01,210.0,259.0
1998-07-01,174.0,234.0
1998-08-01,243.0,295.0
1998-09-01,130.0,159.0
1998-10-01,2.0,57.0
1998-11-01,-103.0,-10.0
1998-12-01,-7.0,28.0
1999-01-01,-26.0,11.0
1999-02-01,-216.0,-22.0
1999-03-01,-22.0,17.0
1999-04-01,134.0,283.0
1999-05-01,157.0,364.0
1999-06-01,177.0,342.0
1999-07-01,206.0,255.0
1999-08-01,130.0,181.0
1999-09-01,158.0,178.0
1999-10-01,7.0,35.0
1999-11-01,-123.0,-46.0
1999-12-01,-22.0,16.0
2000-01-01,-83.0,-21.0
2000-02-01,-123.0,-113.0
2000-03-01,10.0,105.0
2000-04-01,6.0,21.0
2000-05-01,46.0,116.0
2000-06-01,192.0,216.0
2000-07-01,193.0,302.0
2000-08-01,219.0,272.0
2000-09-01,56.0,115.0
2000-10-01,8.0,64.0
2000-11-01,-10.0,14.0
2000-12-01,-57.0,-5.0
2001-01-01,-54.0,-5.0
2001-02-01,-21.0,-5.0
2001-03-01,25.0,86.0
2001-04-01,36.0,127.0
2001-05-01,186.0,256.0
2001-06-01,188.0,326.0
2001-07-01,387.0,365.0
2001-08-01,137.0,203.0
2001-09-01,93.0,106.0
2001-10-01,56.0,91.0
2001-11-01,-68.0,-12.0
2001-12-01,-118.0,-18.0
2002-01-01,-34.0,3.0
2002-02-01,-17.0,0.0
2002-03-01,2.0,33.0
2002-04-01,84.0,117.0
2002-05-01,99.0,202.0
2002-06-01,196.0,388.0
2002-07-01,271.0,271.0
2002-08-01,252.0,285.0
2002-09-01,93.0,130.0
2002-10-01,61.0,129.0
2002-11-01,-90.0,-2.0
2002-12-01,-262.0,-175.0
2003-01-01,-215.0,-102.0
2003-02-01,8.0,37.0
2003-03-01,-25.0,20.0
2003-04-01,-1.0,18.0
2003-05-01,134.0,221.0
2003-06-01,243.0,302.0
2003-07-01,333.0,327.0
2003-08-01,211.0,154.0
2003-09-01,89.0,140.0
2003-10-01,5.0,51.0
2003-11-01,-41.0,-6.0
2003-12-01,-236.0,-95.0
2004-01-01,-172.0,-38.0
2004-02-01,-99.0,-25.0
2004-03-01,12.0,92.0
2004-04-01,12.0,73.0
2004-05-01,83.0,149.0
2004-06-01,129.0,241.0
2004-07-01,110.0,145.0
2004-08-01,53.0,97.0
2004-09-01,74.0,173.0
2004-10-01,15.0,45.0
2004-11-01,30.0,78.0
2004-12-01,-5.0,3.0
2005-01-01,-54.0,-17.0
2005-02-01,11.0,4.0
2005-03-01,0.0,18.0
2005-04-01,17.0,80.0
2005-05-01,12.0,64.0
2005-06-01,82.0,196.0
2005-07-01,173.0,216.0
2005-08-01,182.0,209.0
2005-09-01,132.0,194.0
2005-10-01,12.0,82.0
2005-11-01,8.0,40.0
2005-12-01,-89.0,-37.0
2006-01-01,-85.0,1.0
2006-02-01,9.0,27.0
2006-03-01,-62.0,0.0
2006-04-01,8.0,30.0
2006-05-01,103.0,170.0
2006-06-01,153.0,202.0
2006-07-01,244.0,297.0
2006-08-01,193.0,243.0
2006-09-01,77.0,170.0
2006-10-01,87.0,116.0
2006-11-01,-35.0,29.0
2006-12-01,-24.0,4.0
2007-01-01,49.0,107.0
2007-02-01,-12.0,23.0
2007-03-01,38.0,112.0
2007-04-01,49.0,146.0
2007-05-01,152.0,239.0
2007-06-01,88.0,228.0
2007-07-01,45.0,116.0
2007-08-01,68.0,138.0
2007-09-01,53.0,105.0
2007-10-01,4.0,37.0
2007-11-01,20.0,56.0
2007-12-01,-11.0,26.0
2008-01-01,-7.0,-1.0
2008-02-01,7.0,39.0
2008-03-01,37.0,133.0
2008-04-01,56.0,150.0
2008-05-01,110.0,231.0
2008-06-01,150.0,287.0
2008-07-01,108.0,170.0
2008-08-01,77.0,194.0
2008-09-01,55.0,87.0
2008-10-01,15.0,65.0
2008-11-01,-6.0,11.0
2008-12-01,2.0,34.0
2009-01-01,8.0,39.0
2009-02-01,-27.0,-20.0
2009-03-01,28.0,94.0
2009-04-01,82.0,158.0
2009-05-01,56.0,148.0
2009-06-01,73.0,137.0
2009-07-01,99.0,185.0
2009-08-01,61.0,133.0
2009-09-01,26.0,108.0
2009-10-01,7.0,69.0
2009-11-01,-28.0,13.0
2009-12-01,-48.0,-14.0
2010-01-01,-269.0,-158.0
2010-02-01,-72.0,-31.0
2010-03-01,-6.0,17.0
2010-04-01,22.0,67.0
2010-05-01,41.0,126.0
2010-06-01,98.0,269.0
2010-07-01,216.0,249.0
2010-08-01,124.0,212.0
2010-09-01,17.0,102.0
2010-10-01,0.0,20.0
2010-11-01,-3.0,33.0
2010-12-01,-145.0,-60.0
2011-01-01,0.0,20.0
2011-02-01,2.0,27.0
2011-03-01,-134.0,-37.0
2011-04-01,22.0,93.0
2011-05-01,40.0,119.0
2011-06-01,101.0,217.0
2011-07-01,173.0,274.0
2011-08-01,153.0,269.0
2011-09-01,35.0,118.0
2011-10-01,9.0,62.0
2011-11-01,-17.0,6.0
2011-12-01,30.0,69.0
2012-01-01,-18.0,10.0
2012-02-01,-3.0,35.0
2012-03-01,-58.0,-7.0
2012-04-01,-5.0,26.0
2012-05-01,122.0,291.0
2012-06-01,74.0,244.0
2012-07-01,242.0,372.0
2012-08-01,158.0,270.0
2012-09-01,136.0,222.0
2012-10-01,0.0,24.0
2012-11-01,-72.0,-12.0
2012-12-01,-50.0,3.0
2013-01-01,4.0,38.0
2013-02-01,31.0,154.0
2013-03-01,10.0,62.0
2013-04-01,86.0,234.0
2013-05-01,59.0,178.0
2013-06-01,103.0,252.0
2013-07-01,390.0,384.0
2013-08-01,71.0,131.0
2013-09-01,19.0,91.0
2013-10-01,60.0,137.0
2013-11-01,1.0,23.0
2013-12-01,70.0,98.0
2014-01-01,0.0,15.0
2014-02-01,-26.0,-3.0
2014-03-01,-5.0,16.0
2014-04-01,23.0,101.0
2014-05-01,78.0,207.0
2014-06-01,268.0,433.0
2014-07-01,254.0,277.0
2014-08-01,192.0,244.0
2014-09-01,43.0,74.0
2014-10-01,-12.0,8.0
2014-11-01,-18.0,0.0
2014-12-01,-82.0,-29.0
2015-01-01,-1.0,6.0
2015-02-01,-3.0,6.0
2015-03-01,4.0,55.0
2015-04-01,72.0,170.0
2015-05-01,209.0,247.0
2015-06-01,251.0,287.0
2015-07-01,132.0,146.0
2015-08-01,96.0,117.0
2015-09-01,109.0,171.0
2015-10-01,9.0,52.0
2015-11-01,1.0,43.0
2015-12-01,-177.0,1.0
